año,comuna,CIIU,sección,descripción sección,división,descripción división,grupo,descripción grupo,clase,descripción clase,empresas
2018,Altavista,1701,C,INDUSTRIAS MANUFACTURERAS,17,"Fabricación de papel, cartón y productos de papel y cartón",170,"Fabricación de papel, cartón y productos de papel y cartón",1701,Fabricación de pulpas (pastas) celulósicas; papel y cartón,0
2018,Altavista,1702,C,INDUSTRIAS MANUFACTURERAS,17,"Fabricación de papel, cartón y productos de papel y cartón",170,"Fabricación de papel, cartón y productos de papel y cartón",1702,"Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón.",0
2018,Altavista,1709,C,INDUSTRIAS MANUFACTURERAS,17,"Fabricación de papel, cartón y productos de papel y cartón",170,"Fabricación de papel, cartón y productos de papel y cartón",1709,Fabricación de otros artículos de papel y cartón,0
2018,Altavista,1811,C,INDUSTRIAS MANUFACTURERAS,18,Actividades de impresión y de producción de copias a partir de grabaciones originales ,181,Actividades de impresión y actividades de servicios relacionados con la impresión,1811,Actividades de impresión,0
2018,Altavista,1812,C,INDUSTRIAS MANUFACTURERAS,18,Actividades de impresión y de producción de copias a partir de grabaciones originales ,181,Actividades de impresión y actividades de servicios relacionados con la impresión,1812,Actividades de servicios relacionados con la impresión,0
2018,Altavista,1820,C,INDUSTRIAS MANUFACTURERAS,18,Actividades de impresión y de producción de copias a partir de grabaciones originales ,182,Producción de copias a partir de grabaciones originales ,1820,Producción de copias a partir de grabaciones originales ,0
2018,Altavista,1921,C,INDUSTRIAS MANUFACTURERAS,19,"Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles ",192,Fabricación de productos de la refinación del petróleo,1921,Fabricación de productos de la refinación del petróleo,0
2018,Altavista,1922,C,INDUSTRIAS MANUFACTURERAS,19,"Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles ",192,Fabricación de productos de la refinación del petróleo,1922,Actividad de mezcla de combustibles,0
2018,Altavista,2011,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,201,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias",2011,Fabricación de sustancias y productos químicos básicos,0
2018,Altavista,2012,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,201,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias",2012,Fabricación de abonos y compuestos inorgánicos nitrogenados,0
2018,Altavista,2013,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,201,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias",2013,Fabricación de plásticos en formas primarias,0
2018,Altavista,2014,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,201,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias",2014,Fabricación de caucho sintético en formas primarias,0
2018,Altavista,2021,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,202,Fabricación de otros productos químicos,2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,0
2018,Altavista,2022,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,202,Fabricación de otros productos químicos,2022,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",0
