"AÑO","CIIU","Descripción","ALTAVISTA","ARANJUEZ","BELEN","BUENOS AIRES","CASTILLA","DOCE DE OCTUBRE","EL POBLADO","GUAYABAL","LA AMERICA","LA CANDELARIA","LAURELES-ESTADIO","MANRIQUE","PALMITAS","POPULAR","ROBLEDO","SAN ANTONIO DE PRADO","SAN CRISTOBAL","SAN JAVIER","SANTA CRUZ","SANTA ELENA","VILLA HERMOSA","Sin georreferenciar"
"2019","4,512","Comercio de vehículos automotores usados","0","6","15","6","3","3","122","7","12","24","65","2","0","0","2","0","0","0","3","0","0","31"
"2019","4,520","Mantenimiento y reparación de vehículos automotores","0","108","93","46","76","14","111","102","54","361","130","19","0","8","45","0","0","15","23","0","10","105"
"2019","4,530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores","0","50","85","12","62","14","67","55","30","605","109","9","0","1","24","0","0","9","5","0","7","77"
"2019","4,541","Comercio de motocicletas y de sus partes, piezas y accesorios","0","15","33","21","19","17","32","10","16","168","42","11","0","6","14","0","0","4","11","0","5","33"
"2019","4,542","Mantenimiento y reparación de motocicletas y de sus partes y piezas","0","25","41","19","14","11","6","8","26","94","26","23","0","9","13","0","0","8","8","0","6","43"
"2019","4,610","Comercio al por mayor a cambio de una retribución o por contrata","0","0","12","2","1","0","62","15","9","27","21","0","0","0","4","0","0","4","0","0","0","34"
"2019","4,620","Comercio al por mayor de materias primas agropecuarias; animales vivos","0","5","22","2","9","3","69","15","11","19","35","4","0","1","7","0","0","1","0","0","3","51"
"2019","4,631","Comercio al por mayor de productos alimenticios","0","21","38","7","17","3","84","40","16","45","61","4","0","1","13","0","0","2","0","0","5","66"
"2019","4,632","Comercio al por mayor de bebidas y tabaco","0","0","10","3","0","1","30","3","6","8","6","1","0","1","1","0","0","0","1","0","4","19"
"2019","4,641","Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico","0","0","16","1","5","1","35","27","8","107","35","0","0","1","1","0","0","1","0","0","2","21"
"2019","4,642","Comercio al por mayor de prendas de vestir","0","1","25","6","6","2","36","22","6","89","30","3","0","0","3","0","0","0","1","0","2","37"
"2019","4,643","Comercio al por mayor de calzado","0","1","4","1","0","1","12","4","1","54","5","0","0","0","1","0","0","0","0","0","2","7"
"2019","4,644","Comercio al por mayor de aparatos y equipo de uso doméstico","0","0","4","1","0","0","12","3","9","23","20","0","0","0","2","0","0","0","0","0","0","15"
"2019","4,645","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador","0","6","41","5","2","1","82","31","32","108","78","1","0","0","5","0","0","6","2","0","7","58"
"2019","4,649","Comercio al por mayor de otros utensilios domésticos n.c.p.","0","1","17","2","0","3","18","5","3","103","18","0","0","1","2","0","0","3","1","0","2","18"
"2019","4,651","Comercio al por mayor de computadores, equipo periférico y programas de informática","0","0","8","3","2","0","27","3","8","10","11","0","0","0","3","0","0","1","0","0","0","17"
"2019","4,652","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones","0","3","16","1","4","1","34","9","3","49","29","1","0","0","0","0","0","2","0","0","0","14"
"2019","4,653","Comercio al por mayor de maquinaria y equipo agropecuarios","0","0","3","0","2","0","10","7","3","11","3","0","0","0","1","0","0","0","0","0","0","7"
"2019","4,659","Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","0","2","37","8","2","3","89","44","18","79","64","1","0","0","10","0","0","4","0","0","4","69"
"2019","4,661","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos","0","2","0","0","4","1","7","14","4","8","6","0","0","2","1","0","0","0","0","0","0","9"
"2019","4,662","Comercio al por mayor de metales y productos metalíferos","0","0","12","1","1","0","43","18","6","30","19","1","0","0","0","0","0","0","0","0","0","13"
"2019","4,663","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción","0","13","56","9","13","6","52","61","23","161","51","3","0","1","11","0","0","8","3","0","5","73"
"2019","4,664","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario","0","4","10","1","4","0","28","24","5","27","20","0","0","0","7","0","0","0","0","0","0","19"
"2019","4,665","Comercio al por mayor de desperdicios, desechos y chatarra","0","29","5","0","6","2","3","11","4","46","22","1","0","0","0","0","0","3","3","0","2","16"
"2019","6,531","Régimen de prima media con prestación definida (RPM)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2019","4,669","Comercio al por mayor de otros productos n.c.p.","0","3","27","6","7","3","58","20","14","94","52","2","0","0","3","0","0","2","2","0","0","43"
"2019","4,690","Comercio al por mayor no especializado","0","3","72","8","7","7","121","73","32","268","81","1","0","0","6","0","0","7","2","0","5","94"
"2019","4,711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco","0","321","369","277","248","310","96","211","208","431","269","295","0","180","242","0","0","203","173","0","216","903"
"2019","4,719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco","0","109","158","82","91","85","91","76","86","938","109","74","0","47","80","0","0","58","82","0","66","299"
"2019","4,721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados","0","31","44","28","23","21","25","17","35","107","25","12","0","9","20","0","0","13","10","0","19","117"
"2019","4,722","Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados","0","17","11","6","22","6","10","8","20","25","35","6","0","1","12","0","0","0","1","0","4","45"
"2019","4,723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados","0","53","62","24","40","44","12","36","34","115","20","45","0","34","37","0","0","32","37","0","31","137"
"2019","4,724","Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados","0","53","51","36","36","38","25","32","15","119","29","41","0","22","26","0","0","28","30","0","20","100"
"2019","4,729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados","0","32","68","29","28","16","51","26","33","122","52","20","0","11","19","0","0","12","20","0","13","110"
"2019","4,731","Comercio al por menor de combustible para automotores","0","9","14","5","9","0","17","10","2","21","21","0","0","0","2","0","0","1","0","0","1","24"
"2019","4,732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores","0","12","14","5","14","3","9","19","8","40","16","9","0","0","3","0","0","4","2","0","5","14"
"2019","4,741","Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados","0","24","84","20","26","18","210","31","30","462","119","16","0","14","21","0","0","18","12","0","17","98"
"2019","4,742","Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados","0","2","3","2","1","0","13","1","1","52","17","0","0","0","2","0","0","0","0","0","1","6"
"2019","4,751","Comercio al por menor de productos textiles en establecimientos especializados","0","9","22","4","6","2","16","13","13","267","23","5","0","0","5","0","0","5","2","0","2","26"
"2019","4,752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados","0","82","135","51","48","60","44","77","70","466","72","44","0","27","42","0","0","30","40","0","45","180"
"2019","4,753","Comercio al por menor de tapices, alfombras y cubrimientos para paredes y pisos en establecimientos especializados","0","0","1","0","1","2","8","0","0","3","6","0","0","0","0","0","0","1","0","0","0","5"
"2019","4,754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación","0","12","33","5","7","4","18","6","16","159","41","4","0","3","12","0","0","6","1","0","3","31"
"2019","4,755","Comercio al por menor de artículos y utensilios de uso doméstico","0","10","24","7","9","8","30","11","23","98","70","2","0","2","7","0","0","4","1","0","4","38"
"2019","4,759","Comercio al por menor de otros artículos domésticos en establecimientos especializados","0","35","99","41","41","12","55","31","53","274","99","19","0","9","30","0","0","25","13","0","23","132"
"2019","4,761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados","0","38","77","38","33","34","44","36","66","220","93","20","0","6","33","0","0","13","17","0","25","137"
"2019","4,762","Comercio al por menor de artículos deportivos, en establecimientos especializados","0","4","17","2","2","1","12","6","5","48","27","0","0","1","0","0","0","2","1","0","2","27"
"2019","4,769","Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados","0","0","7","5","2","0","14","2","3","50","19","1","0","1","1","0","0","3","0","0","2","14"
"2019","4,771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados","0","75","191","51","46","33","198","60","75","1,395","222","43","0","17","41","0","0","53","24","0","37","316"
"2019","4,772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.","0","17","26","11","6","7","31","13","16","397","38","7","0","5","13","0","0","14","3","0","5","71"
"2019","4,773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados","0","91","194","93","71","82","112","51","94","481","179","61","0","35","77","0","0","61","44","0","53","290"
"2019","4,774","Comercio al por menor de otros productos nuevos en establecimientos especializados","0","30","59","23","17","7","98","40","38","712","91","11","0","3","23","0","0","6","2","0","10","117"
"2019","4,775","Comercio al por menor de artículos de segunda mano","0","11","20","6","7","5","12","3","7","109","13","4","0","0","1","0","0","4","7","0","3","30"
"2019","4,781","Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles","0","1","3","1","1","1","5","2","4","2","3","1","0","1","3","0","0","0","2","0","0","9"
"2019","4,782","Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles","0","2","5","1","0","3","8","4","4","47","5","4","0","1","2","0","0","3","1","0","0","18"
"2019","4,789","Comercio al por menor de otros productos en puestos de venta móviles","0","2","3","1","0","1","1","3","3","4","3","1","0","0","0","0","0","1","1","0","0","9"
"2019","4,791","Comercio al por menor realizado a través de Internet","0","17","77","33","15","16","75","20","38","61","65","10","0","4","20","0","0","11","6","0","13","142"
"2019","4,792","Comercio al por menor realizado a través de casas de venta o por correo","0","1","3","1","3","2","1","1","0","2","1","0","0","0","0","0","0","4","1","0","0","7"
"2019","4,799","Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados.","0","44","100","44","31","20","79","49","82","122","102","22","0","11","37","0","0","22","8","0","21","237"
"2019","4,911","Transporte férreo de pasajeros","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","4,912","Transporte férreo de carga","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","4,921","Transporte de pasajeros","0","12","27","7","22","4","24","39","23","46","64","6","0","1","7","0","0","9","2","0","4","72"
"2019","4,922","Transporte mixto","0","0","7","2","4","1","3","3","4","9","9","0","0","0","1","0","0","1","0","0","3","8"
"2019","4,923","Transporte de carga por carretera","0","33","57","17","34","7","97","63","36","110","81","12","0","5","42","0","0","14","6","0","14","133"
"2019","4,930","Transporte por tuberías","0","0","1","1","0","0","2","1","2","0","0","0","0","0","1","0","0","0","0","0","0","1"
"2019","5,011","Transporte de pasajeros marítimo y de cabotaje","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","5,012","Transporte de carga marítimo y de cabotaje","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2019","5,022","Transporte fluvial de carga","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","5,111","Transporte aéreo nacional de pasajeros","0","0","0","1","0","0","5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","11"
"2019","5,112","Transporte aéreo internacional de pasajeros","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","5,121","Transporte aéreo nacional de carga","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"2019","5,122","Transporte aéreo internacional de carga","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"2019","5,210","Almacenamiento y depósito","0","0","4","0","2","0","4","4","1","27","5","0","0","0","1","0","0","0","0","0","0","8"
"2019","5,221","Actividades de estaciones, vías y servicios complementarios para el transporte terrestre","0","23","20","22","18","2","34","2","12","204","19","8","0","3","11","0","0","6","7","0","7","33"
"2019","5,222","Actividades de puertos y servicios complementarios para el transporte acuático","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","5,223","Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo","0","0","1","0","0","0","4","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2019","5,224","Manipulación de carga","0","1","3","0","3","1","5","7","1","6","5","0","0","1","2","0","0","0","1","0","0","6"
"2019","5,229","Otras actividades complementarias al transporte","0","5","15","7","9","3","62","21","9","33","31","2","0","1","4","0","0","3","0","0","2","38"
"2019","5,310","Actividades postales nacionales","0","2","2","4","3","3","2","4","2","14","5","4","0","1","4","0","0","0","0","0","1","7"
"2019","5,320","Actividades de mensajería","0","6","26","12","14","9","16","20","10","33","34","7","0","5","12","0","0","5","2","0","7","47"
"2019","5,511","Alojamiento en hoteles","0","10","22","5","17","0","123","13","5","154","120","0","0","1","0","0","0","3","0","0","2","53"
"2019","5,512","Alojamiento en apartahoteles","0","1","3","2","2","0","43","0","3","10","25","0","0","0","0","0","0","0","1","0","1","15"
"2019","5,513","Alojamiento en centros vacacionales","0","0","0","0","0","0","4","0","2","3","2","0","0","0","0","0","0","0","0","0","0","5"
"2019","5,514","Alojamiento rural","0","0","2","0","0","0","6","2","1","1","6","0","0","0","1","0","0","1","0","0","0","22"
"2019","5,519","Otros tipos de alojamientos para visitantes","0","6","10","1","2","0","86","1","9","56","49","0","0","0","2","0","0","1","0","0","1","31"
"2019","5,520","Actividades de zonas de camping y parques para vehículos recreacionales","0","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1"
"2019","5,530","Servicio por horas","0","10","3","1","8","0","6","1","1","130","22","0","0","0","1","0","0","0","1","0","0","4"
"2019","5,590","Otros tipos de alojamiento n.c.p.","0","2","2","0","1","0","8","3","3","27","10","1","0","1","1","0","0","0","0","0","2","3"
"2019","5,611","Expendio a la mesa de comidas preparadas","0","153","217","95","103","45","504","123","112","667","446","31","0","17","71","0","0","47","17","0","29","385"
