comuna,año,level_2,empresas
Aranjuez,2022,4534,50
Aranjuez,2022,4535,103
Aranjuez,2022,4538,190
Aranjuez,2022,4555,43
Aranjuez,2022,4586,45
Aranjuez,2022,4597,32
Aranjuez,2022,4612,19
Aranjuez,2022,4628,62
Aranjuez,2022,4674,39
Aranjuez,2022,4692,140
Aranjuez,2022,4694,46
Belen,2018,4755,111
Belen,2018,4758,45
Belen,2018,4759,35
Belen,2018,4774,296
Belen,2018,4791,55
Belen,2018,4871,51
Belen,2018,4880,40
Belen,2018,4899,108
Belen,2018,4903,115
Belen,2018,4906,47
Belen,2018,4909,79
Belen,2018,4910,51
Belen,2018,4913,99
Belen,2018,4914,78
Belen,2018,4915,36
Belen,2018,4916,39
Belen,2018,4919,41
Belen,2018,4925,39
Belen,2018,4930,43
Belen,2018,4933,53
Belen,2018,4937,73
Belen,2018,4938,362
Belen,2018,4939,153
Belen,2018,4942,63
Belen,2018,4943,54
Belen,2018,4944,70
Belen,2018,4947,69
Belen,2018,4950,122
Belen,2018,4952,37
Belen,2018,4954,95
Belen,2018,4955,66
Belen,2018,4958,200
Belen,2018,4960,156
Belen,2018,4961,49
Belen,2018,4966,68
Belen,2018,4968,101
Belen,2018,4973,51
Belen,2018,4998,217
Belen,2018,5000,79
Belen,2018,5001,134
Belen,2018,5004,136
Belen,2018,5020,36
Belen,2018,5021,90
Belen,2018,5048,103
Belen,2018,5051,217
Belen,2018,5052,70
Belen,2018,5053,53
Belen,2018,5054,48
Belen,2018,5055,56
Belen,2018,5056,143
Belen,2018,5057,191
Belen,2018,5061,114
Belen,2018,5063,37
Belen,2018,5066,75
Belen,2018,5077,37
Belen,2018,5093,77
Belen,2018,5100,34
Belen,2018,5115,55
Belen,2018,5119,34
Belen,2018,5137,34
Belen,2018,5155,252
Belen,2018,5157,57
Belen,2019,5219,107
Belen,2019,5222,41
Belen,2019,5223,42
Belen,2019,5238,292
Belen,2019,5255,59
Belen,2019,5335,58
Belen,2019,5344,48
Belen,2019,5364,115
Belen,2019,5368,114
Belen,2019,5371,49
Belen,2019,5374,81
Belen,2019,5375,47
Belen,2019,5378,93
Belen,2019,5379,85
Belen,2019,5381,41
Belen,2019,5384,38
Belen,2019,5390,41
Belen,2019,5395,37
Belen,2019,5398,56
Belen,2019,5403,72
Belen,2019,5404,369
Belen,2019,5405,158
Belen,2019,5406,44
Belen,2019,5408,62
Belen,2019,5409,51
Belen,2019,5410,68
Belen,2019,5413,84
Belen,2019,5416,135
Belen,2019,5420,99
Belen,2019,5421,77
Belen,2019,5424,191
Belen,2019,5426,194
Belen,2019,5427,59
Belen,2019,5432,77
Belen,2019,5434,100
Belen,2019,5439,57
Belen,2019,5464,217
Belen,2019,5466,79
Belen,2019,5467,165
Belen,2019,5470,136
Belen,2019,5486,34
Belen,2019,5487,84
Belen,2019,5488,41
Belen,2019,5514,120
Belen,2019,5517,239
Belen,2019,5518,75
Belen,2019,5519,56
Belen,2019,5520,39
Belen,2019,5521,57
Belen,2019,5522,144
Belen,2019,5523,176
Belen,2019,5527,120
Belen,2019,5531,59
Belen,2019,5542,42
Belen,2019,5555,40
Belen,2019,5558,99
Belen,2019,5581,47
Belen,2019,5604,47
Belen,2019,5622,282
Belen,2019,5624,64
Belen,2020,5629,155
Belen,2020,5688,96
Belen,2020,5691,39
Belen,2020,5692,33
Belen,2020,5707,265
Belen,2020,5724,45
Belen,2020,5804,53
Belen,2020,5813,45
Belen,2020,5833,102
Belen,2020,5837,122
Belen,2020,5840,53
Belen,2020,5841,35
Belen,2020,5843,73
Belen,2020,5844,53
Belen,2020,5847,90
Belen,2020,5848,76
Belen,2020,5849,35
Belen,2020,5850,36
Belen,2020,5853,36
Belen,2020,5859,34
Belen,2020,5864,48
Belen,2020,5867,60
Belen,2020,5871,65
Belen,2020,5872,356
Belen,2020,5873,153
Belen,2020,5874,39
Belen,2020,5876,59
Belen,2020,5877,46
Belen,2020,5878,60
Belen,2020,5881,80
Belen,2020,5884,129
Belen,2020,5886,35
Belen,2020,5888,100
Belen,2020,5889,75
Belen,2020,5892,151
Belen,2020,5894,191
Belen,2020,5895,53
Belen,2020,5900,105
Belen,2020,5902,85
Belen,2020,5906,54
Belen,2020,5922,35
Belen,2020,5931,177
Belen,2020,5933,50
Belen,2020,5934,131
Belen,2020,5937,98
Belen,2020,5954,95
Belen,2020,5955,47
Belen,2020,5983,121
Belen,2020,5986,237
Belen,2020,5987,82
Belen,2020,5988,53
Belen,2020,5989,40
Belen,2020,5990,68
Belen,2020,5991,149
Belen,2020,5992,174
Belen,2020,5996,102
Belen,2020,6000,59
Belen,2020,6011,37
Belen,2020,6027,91
Belen,2020,6051,42
Belen,2020,6073,34
Belen,2020,6091,258
Belen,2020,6093,56
Belen,2021,6114,54
Belen,2021,6160,117
Belen,2021,6163,62
Belen,2021,6164,49
Belen,2021,6178,348
Belen,2021,6195,69
Belen,2021,6275,56
Belen,2021,6284,59
Belen,2021,6304,160
Belen,2021,6308,176
Belen,2021,6311,59
Belen,2021,6314,128
Belen,2021,6315,66
Belen,2021,6318,107
Belen,2021,6319,107
Belen,2021,6321,50
Belen,2021,6324,62
Belen,2021,6330,52
Belen,2021,6335,69
Belen,2021,6338,80
Belen,2021,6342,91
Belen,2021,6343,433
Belen,2021,6344,172
Belen,2021,6345,52
Belen,2021,6347,79
Belen,2021,6348,66
Belen,2021,6349,86
Belen,2021,6352,101
Belen,2021,6355,142
Belen,2021,6359,126
Belen,2021,6360,91
Belen,2021,6363,218
Belen,2021,6365,264
Belen,2021,6366,71
Belen,2021,6371,158
Belen,2021,6373,132
Belen,2021,6378,74
Belen,2021,6404,257
Belen,2021,6406,72
Belen,2021,6407,166
Belen,2021,6410,156
Belen,2021,6427,197
Belen,2021,6428,92
Belen,2021,6459,192
Belen,2021,6462,521
Belen,2021,6463,128
Belen,2021,6464,102
Belen,2021,6465,58
Belen,2021,6466,155
Belen,2021,6467,266
Belen,2021,6469,70
Belen,2021,6470,171
Belen,2021,6474,167
Belen,2021,6476,73
Belen,2021,6478,127
Belen,2021,6489,66
Belen,2021,6502,56
Belen,2021,6505,162
Belen,2021,6530,60
Belen,2021,6554,54
Belen,2021,6573,268
Belen,2021,6575,114
Belen,2022,6639,114
Belen,2022,6642,51
Belen,2022,6643,42
Belen,2022,6651,42
Belen,2022,6657,306
Belen,2022,6674,60
Belen,2022,6754,63
Belen,2022,6763,48
Belen,2022,6783,158
Belen,2022,6787,160
Belen,2022,6790,55
Belen,2022,6793,108
Belen,2022,6794,71
Belen,2022,6797,105
Belen,2022,6798,89
Belen,2022,6799,47
Belen,2022,6800,51
Belen,2022,6803,54
Belen,2022,6809,52
Belen,2022,6814,64
Belen,2022,6817,69
Belen,2022,6820,49
Belen,2022,6821,70
Belen,2022,6822,407
Belen,2022,6823,172
Belen,2022,6824,43
Belen,2022,6826,74
Belen,2022,6827,58
Belen,2022,6828,81
Belen,2022,6831,91
Belen,2022,6834,151
Belen,2022,6838,116
Belen,2022,6839,87
Belen,2022,6842,214
Belen,2022,6844,259
Belen,2022,6845,64
Belen,2022,6850,165
Belen,2022,6852,101
Belen,2022,6857,87
Belen,2022,6872,44
Belen,2022,6881,260
Belen,2022,6883,73
Belen,2022,6884,133
Belen,2022,6887,156
Belen,2022,6904,151
Belen,2022,6905,67
Belen,2022,6932,145
Belen,2022,6935,420
Belen,2022,6936,113
Belen,2022,6937,100
Belen,2022,6938,55
Belen,2022,6939,90
Belen,2022,6940,195
Belen,2022,6941,50
