index,comuna,total_empresas_comuna,porcentaje_participación,densidad_relativa,año,empresas,porcentaje_participación_por_año
14,Robledo,14549,2.9873761847660036,0.15319574602506056,2021,3080,3.181456652653108
14,Robledo,14549,2.9873761847660036,0.15319574602506056,2022,3604,3.426441786617482
15,San Antonio De Prado,3594,0.7379634344662188,0.037843529535642836,2018,0,0.0
15,San Antonio De Prado,3594,0.7379634344662188,0.037843529535642836,2019,0,0.0
15,San Antonio De Prado,3594,0.7379634344662188,0.037843529535642836,2020,0,0.0
15,San Antonio De Prado,3594,0.7379634344662188,0.037843529535642836,2021,1721,1.777690551693506
15,San Antonio De Prado,3594,0.7379634344662188,0.037843529535642836,2022,1873,1.7807229373847235
16,San Cristobal,2796,0.5741084481824006,0.029440876066126144,2018,0,0.0
16,San Cristobal,2796,0.5741084481824006,0.029440876066126144,2019,0,0.0
16,San Cristobal,2796,0.5741084481824006,0.029440876066126144,2020,0,0.0
16,San Cristobal,2796,0.5741084481824006,0.029440876066126144,2021,1471,1.519455433783351
16,San Cristobal,2796,0.5741084481824006,0.029440876066126144,2022,1325,1.2597212450799566
17,San Javier,9908,2.0344300803259032,0.10432768242602927,2018,1868,1.9634842385191882
17,San Javier,9908,2.0344300803259032,0.10432768242602927,2019,1808,1.8336713995943204
17,San Javier,9908,2.0344300803259032,0.10432768242602927,2020,1663,1.8217470367854876
17,San Javier,9908,2.0344300803259032,0.10432768242602927,2021,2129,2.1991302641228785
17,San Javier,9908,2.0344300803259032,0.10432768242602927,2022,2440,2.3197885569774295
18,Santa Cruz,6642,1.36381556252772,0.06993787511845846,2018,1174,1.2340099015104533
18,Santa Cruz,6642,1.36381556252772,0.06993787511845846,2019,1254,1.2718052738336714
18,Santa Cruz,6642,1.36381556252772,0.06993787511845846,2020,1098,1.2028131367350963
18,Santa Cruz,6642,1.36381556252772,0.06993787511845846,2021,1479,1.527718957556476
18,Santa Cruz,6642,1.36381556252772,0.06993787511845846,2022,1637,1.5563499458082182
19,Santa Elena,2010,0.41271744665473,0.021164578287880383,2018,0,0.0
19,Santa Elena,2010,0.41271744665473,0.021164578287880383,2019,0,0.0
19,Santa Elena,2010,0.41271744665473,0.021164578287880383,2020,0,0.0
19,Santa Elena,2010,0.41271744665473,0.021164578287880383,2021,598,0.6176984020410904
19,Santa Elena,2010,0.41271744665473,0.021164578287880383,2022,1412,1.342435017398414
20,Sin Georreferenciar,47243,9.700502652890254,0.49745182689270295,2018,14885,15.64585807835017
20,Sin Georreferenciar,47243,9.700502652890254,0.49745182689270295,2019,15882,16.107505070993916
20,Sin Georreferenciar,47243,9.700502652890254,0.49745182689270295,2020,15080,16.519510111079462
20,Sin Georreferenciar,47243,9.700502652890254,0.49745182689270295,2021,256,0.26443276073999855
20,Sin Georreferenciar,47243,9.700502652890254,0.49745182689270295,2022,1140,1.08383563727634
21,Villa Hermosa,11616,2.3851372439509175,0.12231230915025798,2018,1727,1.8152769164468083
21,Villa Hermosa,11616,2.3851372439509175,0.12231230915025798,2019,1759,1.7839756592292089
21,Villa Hermosa,11616,2.3851372439509175,0.12231230915025798,2020,1539,1.6859102162434545
21,Villa Hermosa,11616,2.3851372439509175,0.12231230915025798,2021,3539,3.6555763291361516
21,Villa Hermosa,11616,2.3851372439509175,0.12231230915025798,2022,3052,2.9016371622520962
